city;postal_code;sex;date_of_birth;working;form_of_employment;pyt_1;pyt_2;pyt_3
Gdańsk;80-288;f;1986-11-04;True;full-time;2;0;1
Łódź;93-330;f;1988-04-11;False;;2;2;5
Koszalin;75-808;m;1981-02-03;True;freelancer;3;0;2
Białystok;15-092;f;1972-01-22;False;;2;0;0
Warszawa;03-579;f;1994-03-09;False;;2;2;7
Wrocław;50-512;f;1988-02-06;True;self-employment;1;2;8
Łódź;91-490;m;1979-02-15;True;freelancer;2;2;4
Rzeszów;35-113;m;1996-12-12;False;;0;2;1
;;;None;False;;0;0;2
Siemianowice Śląskie;41-100;m;1998-08-04;False;;0;0;9
Wrocław;54-511;f;1985-09-12;True;freelancer;3;1;2
Łódź;93-114;m;1973-12-13;True;freelancer;2;0;1
Tychowo;78-220;f;1979-06-30;True;self-employment;0;2;7
Wrocław;54-621;m;1961-06-02;True;self-employment;2;2;0
Warszawa;00-011;f;1993-10-23;False;;0;1;7
Bielsko-Biała;43-300;m;1966-07-10;False;;0;0;0
Szczecin;71-085;m;1988-11-01;False;;3;0;9
Warszawa;02-290;f;1998-01-26;False;;0;1;7
Ryglice;33-160;f;1970-04-09;True;freelancer;3;1;4
Wrocław;52-339;m;1979-09-17;True;freelancer;3;2;9
Korfantów;48-317;f;1967-06-14;False;;0;1;4
Kraków;31-829;f;1968-03-20;True;self-employment;1;0;8
Warszawa;00-019;f;1971-06-13;True;self-employment;2;0;9
Przemyśl;37-705;f;1990-10-24;False;;3;0;9
Siemianowice Śląskie;41-103;m;1997-08-20;True;freelancer;1;0;3
Lublin;20-337;f;1961-06-04;False;;3;0;1
Bydgoszcz;85-459;m;1994-07-03;False;;2;2;0
Warszawa;03-936;f;1986-03-12;False;;1;2;6
Katowice;40-650;m;1960-01-21;False;;3;1;3
Olsztyn;10-662;f;1975-03-12;False;;3;2;0
Kraków;30-324;m;1971-11-24;False;;2;1;1
Kielce;25-672;m;1975-09-16;True;freelancer;2;1;8
Poznań;60-480;f;1996-02-25;False;;3;2;8
Puńsk;16-515;m;1968-10-05;False;;1;1;1
Gdynia;81-314;m;1989-11-19;False;;3;0;1
Opole;45-640;f;1999-05-26;False;;2;2;4
Białystok;15-349;f;1958-01-28;False;;1;0;4
Warszawa;02-103;f;1989-05-19;True;freelancer;3;2;2
Warszawa;03-809;f;1970-12-21;True;self-employment;2;0;2
Radoszyce;26-230;f;1962-05-20;False;;0;1;4
Gdańsk;80-806;m;1982-03-06;False;;2;1;3
Szczecin;70-878;f;1967-10-22;True;self-employment;2;1;3
Warszawa;00-037;m;1966-05-02;True;full-time;3;2;1
Katowice;40-621;m;1970-08-02;True;full-time;0;1;9
Szczecin;70-711;f;1967-04-03;True;self-employment;0;0;3
Ruda Śląska;41-712;m;1972-08-09;True;self-employment;2;1;6
Katowice;40-209;m;1972-02-25;True;full-time;3;0;3
Wrocław;54-612;f;1962-07-25;False;;0;2;8
Kraków;31-519;m;1993-07-08;True;freelancer;1;1;0
Dąbrowa Górnicza;41-300;m;1983-04-26;False;;2;1;0
Wrocław;50-032;m;1970-02-01;True;self-employment;2;0;2
Bielsko-Biała;43-300;m;1998-03-16;False;;2;1;7
Kraków;30-898;f;1996-02-29;True;self-employment;1;1;9
Gdańsk;80-336;m;1974-09-22;True;full-time;1;1;7
Kraków;30-816;f;1958-04-15;True;full-time;2;0;2
Gliwice;44-151;f;1997-10-23;True;freelancer;0;0;0
Kraków;30-529;f;1990-08-25;False;;3;2;5
Racibórz;47-400;f;1968-02-05;False;;1;1;9
Łódź;90-153;m;1981-08-01;True;full-time;3;0;1
Kraków;31-979;m;1971-01-11;True;freelancer;3;2;4
Kielce;25-823;f;1966-10-15;True;freelancer;1;0;0
Łódź;91-364;f;1973-12-12;True;self-employment;0;1;1
Gdynia;81-572;f;1988-06-28;True;full-time;3;2;6
Poznań;60-013;m;1987-08-12;False;;3;2;5
Ostrołęka;07-412;f;1975-07-07;False;;3;1;1
Łódź;90-457;f;1999-11-01;False;;3;2;9
Smardzewice;97-213;m;1975-11-05;False;;0;0;1
Jasienica;07-304;f;1987-11-29;True;freelancer;1;2;1
Jaworzno;43-605;f;1982-07-14;True;self-employment;0;2;3
Łódź;91-849;f;1996-01-15;False;;1;0;9
Warszawa;03-093;m;1967-02-18;True;self-employment;1;1;2
Racibórz;47-404;f;1958-08-03;False;;0;0;8
Łódź;94-215;f;1995-09-16;True;freelancer;0;1;9
Gdynia;81-270;f;1981-02-26;False;;2;0;5
Pantalowice;37-224;m;1976-08-28;True;full-time;1;2;3
Gliwice;44-122;m;1994-03-22;False;;2;0;2
Warszawa;02-757;f;1984-10-21;True;full-time;1;0;9
Gdańsk;80-419;f;1994-05-07;False;;3;0;6
Wiązów;57-120;m;1967-01-05;False;;2;0;1
Świętochłowice;41-600;f;1988-09-12;False;;2;2;4
Mikołów;43-196;m;1961-07-28;True;self-employment;2;1;5
Bytom;41-907;f;1997-09-24;True;freelancer;1;1;3
Kraków;30-136;m;1971-05-12;True;full-time;2;1;1
Ruda Śląska;41-710;f;1962-04-14;False;;1;2;5
Kamienica Szlachecka;83-323;f;1995-06-29;False;;0;0;1
Katowice;40-660;m;1960-03-02;True;full-time;0;2;8
Kraków;30-212;f;1968-07-27;True;full-time;3;2;0
Sosnowiec;41-214;f;1961-12-13;True;full-time;3;2;3
Warszawa;02-484;m;1990-09-27;True;full-time;2;0;6
Łódź;90-256;f;1961-02-12;False;;2;2;1
Bielsko-Biała;43-300;m;1970-06-10;False;;0;2;3
Warszawa;00-084;f;1970-05-22;False;;1;0;1
Poznań;61-522;m;1982-04-15;False;;3;1;6
Koszalin;75-350;f;1992-07-14;True;self-employment;1;1;1
Łódź;94-037;m;1978-06-29;False;;1;1;1
Głogów;67-200;m;1966-08-10;False;;2;0;0
Wrocław;53-209;f;1991-11-05;False;;3;0;4
Szczecin;71-221;m;1970-05-13;False;;0;0;4
Łódź;93-428;f;1982-01-28;False;;2;1;4
Poznań;61-298;m;1965-09-28;True;full-time;3;1;8
Opole;45-466;m;1972-11-22;True;self-employment;1;0;3
Warszawa;03-892;m;1983-07-18;True;self-employment;1;0;1
Wrocław;53-513;f;1970-05-03;True;full-time;3;1;9
Łódź;93-492;f;1968-08-26;True;self-employment;3;1;4
Łódź;92-629;m;1979-09-11;True;full-time;1;1;9
Olsztyn;10-355;f;1987-01-11;False;;3;2;7
Szczecin;70-373;m;1986-11-04;True;freelancer;3;2;8
Katowice;40-844;f;1981-04-07;True;full-time;3;2;2
Gdańsk;80-215;f;1976-10-12;True;full-time;1;0;0
Warszawa;03-289;m;1977-10-16;True;self-employment;2;1;6
Katowice;40-929;f;1966-10-05;False;;1;0;1
Białystok;15-638;m;1973-11-02;True;self-employment;0;0;2
Białystok;15-711;m;1981-01-04;False;;1;1;1
Warszawa;02-590;f;1974-08-11;True;freelancer;0;1;9
Starogard Gdański;83-202;m;1973-12-31;True;self-employment;2;1;8
Gdynia;81-122;m;1963-06-15;True;full-time;3;0;2
Warszawa;02-482;m;1998-12-21;False;;3;0;1
Warszawa;04-484;f;1960-02-26;False;;3;2;3
Tarnowskie Góry;42-600;f;1970-06-30;False;;0;1;4
Warszawa;00-111;f;1969-07-14;False;;0;0;3
Bydgoszcz;85-790;f;1965-06-07;True;self-employment;0;2;9
Warszawa;02-882;f;1969-10-23;False;;1;2;8
Warszawa;00-114;f;1996-12-26;False;;0;0;1
Olsztyn;10-130;f;1972-02-16;True;freelancer;1;2;0
Łódź;92-109;f;1974-06-16;True;full-time;3;1;0
Koszalin;75-610;f;1961-10-10;True;self-employment;3;2;7
Olsztyn;11-041;m;1972-05-15;True;self-employment;1;2;0
Kraków;31-831;m;1980-04-24;True;self-employment;2;2;6
Łódź;94-214;f;1972-06-02;False;;0;1;5
Warszawa;03-815;f;1965-04-09;True;full-time;2;1;3
Warszawa;04-956;f;1994-05-14;False;;1;2;4
Kraków;30-381;m;1977-07-05;False;;0;1;0
Łopuszno;26-070;m;1990-05-16;False;;2;0;4
Katowice;40-751;m;1964-05-27;True;freelancer;1;2;1
Warszawa;02-943;f;1975-03-06;True;full-time;2;0;5
Zielona Góra;65-036;m;1989-07-11;True;self-employment;0;0;2
Wrocław;50-051;m;1971-10-15;False;;3;0;1
Łódź;93-469;m;1986-03-12;False;;3;2;5
Katowice;40-139;m;1975-11-02;False;;3;2;7
Sońsk;06-430;m;1992-11-05;True;freelancer;2;2;0
Białystok;15-371;f;1972-11-16;False;;0;1;2
Kraków;31-523;f;1983-11-26;True;full-time;3;0;7
Mikołów;43-195;f;1968-06-06;True;full-time;0;2;4
Żołynia;37-110;f;1958-04-03;True;full-time;0;1;6
Łódź;90-624;m;1977-01-14;False;;1;2;5
Zielona Góra;65-128;m;1962-10-18;False;;2;1;7
Szczecin;70-772;f;1996-11-25;False;;0;1;5
Olsztyn;10-603;m;1991-03-23;False;;0;1;6
Wilczyce;27-612;m;1974-07-30;False;;0;0;1
Łódź;92-740;m;1996-11-15;False;;3;2;5
Łódź;93-350;m;1958-07-13;False;;0;2;3
Lublin;20-819;m;1999-01-06;False;;1;2;9
Kraków;30-703;f;1975-10-17;True;full-time;3;0;5
Wrocław;50-137;f;1972-12-12;False;;3;1;9
Bydgoszcz;85-097;m;1997-01-30;True;freelancer;1;0;8
Chorzów;41-506;f;1959-04-17;True;freelancer;2;2;0
Tczew;83-101;f;1963-08-13;True;freelancer;0;1;1
Gdańsk;80-881;m;1980-04-23;False;;1;2;6
Świercze;06-150;f;1988-01-15;True;freelancer;3;0;2
Lublin;20-543;m;1962-06-30;True;freelancer;1;0;7
Gliwice;44-105;m;1965-11-22;False;;3;2;5
Szczecin;71-251;f;1981-06-04;True;self-employment;0;0;6
Poznań;61-614;f;1977-10-10;False;;1;2;8
Bobrowo;87-327;f;1987-12-27;False;;2;1;0
Bydgoszcz;85-436;f;1961-02-25;False;;0;2;5
Rzeszów;35-305;f;1991-11-16;False;;3;1;1
Koszalin;75-671;f;1966-10-21;True;full-time;3;0;0
Olsztyn;10-620;f;1991-06-24;False;;0;1;5
Kielce;25-206;f;1967-12-25;False;;1;0;0
Rumia;84-231;m;1984-09-08;False;;2;0;2
Katowice;40-225;m;1992-11-25;True;self-employment;2;2;5
Warszawa;03-606;m;1995-08-20;False;;2;2;8
Łódź;91-528;m;1958-02-22;False;;0;2;6
Opole;45-687;m;1959-04-04;True;self-employment;2;1;9
Wrocław;53-609;f;1962-09-22;True;self-employment;2;2;4
Kraków;31-987;f;1993-08-09;False;;2;2;4
Warszawa;00-161;m;1967-05-20;True;freelancer;3;2;9
Kielce;25-806;f;1978-05-01;False;;3;2;1
Warszawa/Wesoła;05-075;m;1969-02-17;True;self-employment;1;0;8
Szczecin;71-043;m;1963-07-14;True;full-time;1;1;7
Wrocław;50-262;m;1964-01-02;True;full-time;3;1;7
Kraków;30-229;m;1978-03-07;True;self-employment;2;1;7
Opole;45-446;m;1958-05-16;False;;3;2;1
Szczecin;71-220;m;1958-08-04;True;self-employment;2;0;2
Warszawa;02-385;f;1999-04-16;True;freelancer;1;2;7
Koszalin;75-632;f;1986-11-05;False;;0;0;5
Warszawa;00-171;m;1977-06-04;True;self-employment;2;2;8
Białystok;15-523;f;1978-11-05;False;;1;1;3
Kraków;31-056;m;1988-10-18;True;full-time;2;2;7
Warszawa;03-866;m;1979-09-26;True;self-employment;3;2;0
Lublin;20-388;m;1962-07-08;True;self-employment;2;2;6
Bedlno;99-311;m;1958-12-21;True;freelancer;2;1;4
Olsztyn;10-373;f;1996-04-28;True;self-employment;3;1;9
Katowice;40-749;m;1976-06-08;False;;0;2;4
Warszawa;04-413;m;1991-09-29;True;freelancer;1;2;8
Gdynia;81-572;m;1983-12-15;True;full-time;3;2;8
Gdańsk;80-734;m;1978-10-27;True;self-employment;2;1;5
Warszawa;00-182;f;1987-10-13;False;;3;1;9
Warszawa;00-183;m;1995-11-22;False;;0;2;0
Lublin;20-003;m;1969-05-22;False;;1;1;6
Elbląg;82-314;f;1982-02-14;True;freelancer;1;0;2
Wrocław;50-018;f;1976-11-24;False;;2;1;3
Białystok;15-537;f;1991-10-27;False;;1;1;6
Kielce;25-636;m;1961-04-08;True;freelancer;1;2;3
Wrocław;50-075;f;1966-06-30;True;freelancer;1;2;5
Lublin;20-014;m;1992-05-12;True;full-time;3;2;5
Łódź;90-301;m;1973-12-02;True;freelancer;3;0;9
Wrocław;54-048;f;1958-09-18;True;self-employment;2;1;6
Katowice;40-309;f;1967-03-19;False;;3;2;3
Świętochłowice;41-600;m;1972-04-24;True;freelancer;0;0;5
Rzeszów;35-617;m;1995-11-12;True;self-employment;0;2;6
Koszalin;75-679;m;1962-06-06;True;full-time;3;1;6
Kraków;30-252;m;1960-07-18;True;full-time;1;0;0
Siemiatycze;17-300;f;1982-04-28;True;freelancer;1;0;1
Warszawa;03-435;m;1987-12-05;True;freelancer;3;1;5
Wysokie Mazowieckie;18-200;f;1970-04-06;False;;0;1;1
Kraków;31-144;m;1976-11-05;True;full-time;1;1;1
Koszalin;75-721;f;1973-11-22;True;full-time;0;0;3
Zielona Góra;65-960;m;1963-06-07;True;freelancer;3;1;5
Legionowo;05-121;f;1960-09-17;False;;0;1;1
Poznań;60-808;m;1959-09-05;True;self-employment;1;2;3
Szczecin;71-005;m;1984-09-01;True;self-employment;2;0;2
Wrocław;54-211;m;1978-03-28;True;full-time;1;2;4
